feature_name,importance_gain_pct,raw_gain,split_count
cost_revision_ratio,33.61,106486.56,22
C_base,18.3,57989.99,82
expenditure_to_baseline,9.24,29268.43,70
scale_bucket,8.59,27223.67,20
sector_clean,6.83,21635.0,63
completion_date_drift,6.75,21398.29,50
schedule_deviation_months,6.03,19098.93,20
observation_number,3.47,11002.61,64
project_age_months,2.87,9105.94,58
V_exp_3m,0.83,2615.81,27
trajectory_risk_score,0.74,2359.59,5
financial_physical_gap,0.62,1962.85,10
months_since_previous_observation,0.48,1517.5,18
V_exp_1m,0.34,1088.5,14
V_fin_3m,0.34,1066.72,11
EWMA_V_fin,0.29,912.81,10
A_exp,0.2,636.56,7
V_fin_1m,0.14,451.14,6
A_fin,0.13,410.97,4
schedule_deviation_change,0.1,301.37,4
Z_peer_V_fin,0.1,312.64,5
A_phys,0.0,0.0,0
V_phys_3m,0.0,0.0,0
V_phys_1m,0.0,0.0,0
reporting_gap_flag,0.0,0.0,0
