project_id,project_name,sector,ministry,state,district,project_size,reporting_month,physical_progress,financial_progress,expenditure,approved_cost,revised_cost,original_completion_date,revised_completion_date,milestone_information,schedule_deviation,duplicate_raw_record_count,source_pdf_count,source_pages,extraction_warning,source_pdf,source_page
020100044,"BHAVINI LIMITED PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) 1",,,TAMIL NADU,,,2022-06,97.64,183.63,6412.25,3492.0,6840.0,2010-09,2022-10,NUCLEAR POWER CORPORATION OF INDIA LIMITED KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4 2 Primary systems & Reactor auxiliary systems: Main Vessel is kept ,168,1,1,p.29,,QPSIR_1st_QTR_2022-23.pdf,29
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU,,,2023-04,,38800.0,3492.0,9.0,10.0,,,"6,534.68 (4,178.00) [171]",7,1,1,p.114,,FR_APril_2023.pdf,114
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2023-05,,38800.0,3492.0,9.0,10.0,,,"6,545.63 (4,178.00) [171]",7,1,1,p.106,,FR_may_2023.pdf,106
020100044,"BHAVINI LIMITED PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) 1",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2023-06,97.64,38800.0,6557.81,3492.0,6840.0,2010-09,2022-10,NUCLEAR POWER CORPORATION OF INDIA LIMITED KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4 2 Primary systems & Reactor auxiliary systems: Main Vessel preheati,7,2,2,p.28; p.107,MERGED_2_RAW_ROWS; FIN_PROG_VARIANCE(187.8%-38800.0%),FR_june_2023.pdf; QPSR_1st_QTR_2023-24.pdf,28
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2023-07,,38800.0,3492.0,9.0,10.0,,,"6,569.75 (4,178.00) [171]",7,1,1,p.108,,FR_july1_2023.pdf,108
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU,,,2023-08,,38800.0,3492.0,9.0,10.0,,,"6,583.36 (4,178.00) [171]",7,1,1,p.118,,FR_august_2023.pdf,118
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2023-09,,38800.0,3492.0,9.0,10.0,,,"6,583.36 (4,178.00) [171]",7,1,1,p.89,,FR_sept_2023.pdf,89
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Bhavini Limited,BHAVNI,TAMIL NADU,,,2023-10,,38800.0,3492.0,9.0,10.0,,,"6,612.17 (4,178.00) [171]",7,1,1,p.92,,FR_oct_2023.pdf,92
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) BHAVNI,TAMIL NADU",Bhavini Limited,,,,,2023-11,,86.21,6612.17,7670.0,,,,09/2010 10/2022,,3,1,p.141; p.168; p.254,MERGED_3_RAW_ROWS,FR_nov_2023.pdf,141
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-01,,38800.0,3492.0,9.0,12.0,,,"6,649.17 (4,178.00) [171]",7,1,1,p.96,,FR_jan_2024.pdf,96
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-02,,38800.0,3492.0,9.0,12.0,,,"6,649.17 (4,178.00) [171]",7,1,1,p.104,,FR_feb_2024.pdf,104
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) BHAVNI,TAMIL NADU",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-03,,38800.0,6649.17,7670.0,12.0,,,"6,649.17 (4,178.00) [171]",7,4,2,p.47; p.71; p.90; p.104,MERGED_4_RAW_ROWS; FIN_PROG_VARIANCE(0.1%-38800.0%),FR_mar_2024.pdf; QPSR-4th_QTR_2023-2024 Part_II.pdf,47
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) (BHAVNI )",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-06,97.9,198.22,6921.72,3492.0,7670.0,2010-09,2025-03,,,2,2,p.248; p.268,MERGED_2_RAW_ROWS,June.pdf; QPISR_1st_QTR_2024-25 PART2.pdf,248
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) (BHAVNI )",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-07,98.0,198.22,6921.72,3492.0,7670.0,2010-09,2025-03,,,1,1,p.213,,July_Part-II.pdf,213
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) (BHAVNI )",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-08,98.0,198.22,6921.72,3492.0,7670.0,2010-09,2025-03,,,1,1,p.197,,August_Part-2(List_of_tables).pdf,197
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) (BHAVNI )",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-09,98.0,198.22,6921.72,3492.0,7670.0,2010-09,2025-03,,,2,2,p.200; p.215,MERGED_2_RAW_ROWS,QPISR_2nd_QTR_2024-25 PART2.pdf; September_Part-2(List_of_tables).pdf,200
020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) (BHAVNI )",ATOMIC ENERGY,BHAVNI,TAMIL NADU,,,2024-12,0.0,198.22,6921.72,3492.0,3492.0,2010-09,2025-03,,,1,1,p.247,,QPISR_3rd_QTR_2024-25.pdf,247
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY 76 Agreemen,,,CHHATISGARH,,,2022-06,72.0,42.95,5074.73,11816.4,11816.4,2023-03,2023-03,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY 77 Completion of 50% work of construction of Gevra RLS- Work is in progress. 25% work completed. Location: CHHATISGA,0,1,1,p.75,,QPSIR_1st_QTR_2022-23.pdf,75
060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,Singareni Colliers Company Limitted,SECL,CHHATTISGARH,,,2023-04,,49.35,5831.21,11816.4,11816.4,2023-03,2025-03,15/21,24,1,1,p.121,,FR_APril_2023.pdf,121
060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,COAL,SECL,CHHATTISGARH,,,2023-05,,49.56,5856.67,11816.4,11816.4,2023-03,2025-03,15/21,24,1,1,p.113,,FR_may_2023.pdf,113
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY 77 Finaliza,COAL,SECL,CHHATTISGARH,,,2023-06,75.0,49.68,5870.12,11816.4,11816.4,2023-03,2025-03,KUSMUNDA EXPN.OCP(SECL)(15-50)MTY 78 Completion of construction of RLS at Gevra OCP. Achieved. Project commissioned Location: CHHATTISGARH N06000008 C,24,2,2,p.73; p.114,MERGED_2_RAW_ROWS,FR_june_2023.pdf; QPSR_1st_QTR_2023-24.pdf,73
060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,COAL,SECL,CHHATTISGARH,,,2023-07,,49.82,5887.31,11816.4,11816.4,2023-03,2025-03,15/21,24,1,1,p.115,,FR_july1_2023.pdf,115
060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,Singareni Colliers Company Limitted,SECL,CHHATTISGARH,,,2023-08,,50.07,5916.13,11816.4,11816.4,2023-03,2025-03,15/21,24,1,1,p.124,,FR_august_2023.pdf,124
060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,COAL,SECL,CHHATTISGARH,,,2023-09,,50.27,5940.04,11816.4,11816.4,2023-03,2025-03,15/21,24,1,1,p.96,,FR_sept_2023.pdf,96
